"unigram","BigramTM","freq"
"of","the",1328
"in","the",1272
"on","the",720
"for","the",685
"to","the",674
"to","be",621
"at","the",499
"i","have",403
"i","was",393
"it","was",384
"and","the",372
"is","a",359
"it","is",353
"for","a",352
"in","a",350
"i","am",343
"and","i",339
"have","a",322
"with","the",312
"if","you",297
"is","the",297
"going","to",289
"i","dont",285
"one","of",260
"with","a",255
"from","the",252
"will","be",250
"that","i",249
"to","get",249
"of","a",242
"i","love",241
"thanks","for",239
"have","to",237
"want","to",231
"i","think",223
"to","do",221
"all","the",220
"but","i",213
"this","is",205
"and","a",204
"of","my",204
"to","see",204
"as","a",198
"i","know",198
"you","are",197
"need","to",195
"you","can",190
"by","the",186
"was","a",184
"when","i",184
"we","are",182
"i","can",181
"i","had",181
"in","my",181
"i","just",178
"to","go",177
"the","same",176
"be","a",175
"a","great",174
"out","of",174
"the","first",171
"that","the",170
"they","are",170
"thank","you",169
"to","have",169
"you","have",169
"a","few",167
"to","make",165
"have","been",163
"to","a",163
"on","a",159
"on","my",157
"if","i",152
"i","would",150
"a","lot",149
"so","i",149
"the","world",148
"a","good",145
"about","the",144
"that","is",144
"had","a",143
"the","best",142
"i","will",141
"a","little",138
"do","you",138
"would","be",136
"so","much",132
"has","been",130
"i","could",129
"there","are",129
"to","me",127
"trying","to",126
"when","you",126
"he","was",125
"there","is",125
"to","my",122
"we","have",120
"are","you",119
"back","to",119
"is","not",119
"into","the",118
"as","the",117
"like","a",117
"go","to",116
"you","know",116
"and","it",114
"as","well",111
"i","cant",111
"i","got",111
"i","need",111
"i","want",111
"the","most",111
"the","way",111
"can","be",110
"me","to",109
"in","this",108
"right","now",107
"all","of",106
"the","new",106
"and","then",105
"more","than",105
"the","next",105
"the","day",103
"the","only",103
"up","to",103
"how","to",102
"im","not",102
"of","this",102
"the","last",102
"be","the",100
"i","thought",100
"able","to",99
"as","i",99
"at","least",99
"lot","of",99
"way","to",99
"with","my",98
"part","of",96
"some","of",96
"for","me",95
"its","a",93
"of","course",93
"this","week",93
"a","new",92
"i","hope",92
"in","your",92
"is","that",92
"what","i",92
"he","is",91
"i","do",91
"the","other",91
"the","time",91
"time","to",91
"for","my",90
"i","feel",90
"kind","of",89
"at","a",88
"for","you",88
"get","a",88
"over","the",88
"to","take",88
"to","you",88
"cant","wait",87
"got","a",87
"and","that",85
"are","the",85
"should","be",85
"you","dont",85
"i","didnt",84
"the","end",84
"a","bit",83
"from","a",83
"like","to",83
"of","our",83
"to","find",83
"was","the",83
"but","it",82
"forward","to",81
"had","to",81
"it","to",81
"to","say",81
"did","you",79
"have","the",79
"that","they",79
"that","you",79
"to","know",79
"last","night",78
"love","you",78
"my","life",78
"such","a",78
"of","his",77
"to","work",77
"what","you",77
"of","your",76
"we","can",76
"but","the",75
"i","get",75
"like","the",75
"that","he",75
"you","to",75
"dont","know",74
"i","did",74
"a","very",73
"check","out",73
"they","were",73
"end","of",72
"its","not",72
"make","a",72
"out","the",72
"wanted","to",72
"would","have",72
"has","a",71
"ive","been",71
"during","the",70
"it","would",70
"that","it",70
"and","we",69
"i","hate",69
"make","it",69
"see","you",69
"think","i",69
"you","think",69
"and","you",68
"follow","me",68
"of","it",68
"dont","have",67
"look","at",67
"i","like",66
"not","to",66
"up","and",66
"up","the",66
"up","with",66
"you","want",66
"in","his",65
"it","has",65
"me","i",65
"she","was",65
"a","couple",64
"for","this",64
"it","will",64
"know","that",64
"of","you",64
"there","was",64
"to","hear",64
"into","a",63
"on","your",63
"through","the",63
"we","were",63
"when","the",63
"for","your",62
"is","it",62
"not","a",62
"this","year",62
"to","all",62
"who","are",62
"and","its",61
"and","they",61
"because","i",61
"come","to",61
"is","so",61
"which","is",61
"you","get",61
"a","long",60
"and","he",60
"at","all",60
"just","a",60
"ready","to",60
"around","the",59
"feel","like",59
"got","to",59
"take","a",59
"i","really",58
"of","those",58
"that","was",58
"to","come",58
"what","is",58
"with","me",58
"you","for",58
"you","will",58
"is","to",57
"love","to",57
"may","be",57
"me","and",57
"of","them",57
"of","us",57
"the","right",57
"try","to",57
"a","big",56
"and","im",56
"decided","to",56
"enough","to",56
"it","and",56
"you","and",56
"are","not",55
"could","be",55
"hope","you",55
"if","they",55
"no","one",55
"of","these",55
"see","the",55
"this","was",55
"about","it",54
"after","the",54
"and","my",54
"been","a",54
"have","you",54
"i","wish",54
"is","an",54
"it","out",54
"looking","forward",54
"love","the",54
"out","to",54
"she","is",54
"time","i",54
"to","keep",54
"what","a",54
"with","you",54
"you","need",54
"and","more",53
"back","in",53
"by","a",53
"do","not",53
"i","guess",53
"know","how",53
"lots","of",53
"me","a",53
"my","favorite",53
"so","many",53
"that","we",53
"to","give",53
"up","on",53
"used","to",53
"you","guys",53
"about","to",52
"and","not",52
"do","it",52
"is","going",52
"it","up",52
"now","i",52
"be","in",51
"hard","to",51
"if","youre",51
"im","going",51
"of","all",51
"so","far",51
"they","have",51
"to","start",51
"to","your",51
"away","from",50
"get","the",50
"i","see",50
"is","no",50
"let","me",50
"must","be",50
"the","game",50
"the","past",50
"to","read",50
"you","should",50
"are","a",49
"dont","want",49
"get","to",49
"i","miss",49
"is","my",49
"like","i",49
"need","a",49
"people","who",49
"the","book",49
"then","i",49
"you","do",49
"couple","of",48
"did","not",48
"for","all",48
"if","the",48
"in","their",48
"it","i",48
"looks","like",48
"new","york",48
"the","more",48
"this","time",48
"to","help",48
"according","to",47
"each","other",47
"had","been",47
"he","has",47
"my","mom",47
"not","be",47
"not","sure",47
"on","this",47
"on","twitter",47
"up","a",47
"up","in",47
"went","to",47
"and","in",46
"be","on",46
"how","much",46
"i","still",46
"instead","of",46
"looking","for",46
"me","that",46
"or","the",46
"such","as",46
"the","one",46
"to","our",46
"for","some",45
"in","our",45
"in","that",45
"is","in",45
"know","what",45
"most","of",45
"of","their",45
"off","the",45
"say","that",45
"than","the",45
"to","watch",45
"when","he",45
"when","they",45
"with","all",45
"you","a",45
"after","a",44
"all","i",44
"all","my",44
"but","im",44
"for","our",44
"good","luck",44
"it","all",44
"live","in",44
"not","the",44
"ready","for",44
"seems","to",44
"tell","me",44
"the","whole",44
"this","morning",44
"too","much",44
"wait","to",44
"we","had",44
"and","his",43
"and","to",43
"before","the",43
"does","not",43
"having","a",43
"i","havent",43
"i","should",43
"ill","be",43
"in","and",43
"out","and",43
"since","i",43
"the","rest",43
"think","about",43
"was","so",43
"we","need",43
"well","as",43
"who","is",43
"a","week",42
"all","day",42
"and","now",42
"be","able",42
"because","of",42
"down","the",42
"had","the",42
"i","made",42
"listening","to",42
"of","people",42
"seem","to",42
"the","follow",42
"the","top",42
"to","think",42
"to","this",42
"what","we",42
"a","chance",41
"a","day",41
"a","man",41
"a","nice",41
"and","all",41
"and","if",41
"and","is",41
"at","this",41
"but","we",41
"do","i",41
"happy","birthday",41
"im","so",41
"number","of",41
"of","that",41
"should","have",41
"so","we",41
"the","us",41
"their","own",41
"there","were",41
"when","it",41
"you","cant",41
"are","all",40
"at","pm",40
"it","in",40
"make","sure",40
"makes","me",40
"rather","than",40
"so","that",40
"that","are",40
"what","the",40
"a","huge",39
"a","small",39
"a","year",39
"about","a",39
"and","so",39
"but","they",39
"day","of",39
"first","time",39
"im","a",39
"like","this",39
"made","it",39
"my","head",39
"of","her",39
"rest","of",39
"talking","about",39
"think","of",39
"this","weekend",39
"time","for",39
"to","play",39
"to","use",39
"to","write",39
"up","for",39
"with","her",39
"years","ago",39
"you","could",39
"you","see",39
"bit","of",38
"fact","that",38
"from","my",38
"have","no",38
"he","said",38
"how","many",38
"i","wanted",38
"is","just",38
"supposed","to",38
"talk","about",38
"thanks","to",38
"the","real",38
"the","s",38
"the","word",38
"them","to",38
"they","can",38
"when","we",38
"you","like",38
"a","while",37
"at","am",37
"better","than",37
"can","you",37
"going","on",37
"good","to",37
"he","had",37
"how","i",37
"if","it",37
"is","one",37
"is","what",37
"it","on",37
"know","i",37
"last","year",37
"love","it",37
"that","would",37
"the","people",37
"the","th",37
"theres","a",37
"to","live",37
"top","of",37
"was","not",37
"you","were",37
"all","that",36
"and","other",36
"as","an",36
"dont","think",36
"due","to",36
"i","also",36
"i","felt",36
"i","saw",36
"like","it",36
"of","an",36
"on","it",36
"the","house",36
"those","who",36
"to","create",36
"to","sleep",36
"today","i",36
"us","to",36
"waiting","for",36
"what","it",36
"what","they",36
"and","how",35
"as","he",35
"as","it",35
"but","its",35
"but","not",35
"but","that",35
"for","it",35
"life","is",35
"out","in",35
"that","this",35
"the","back",35
"think","that",35
"thinking","about",35
"to","put",35
"to","stop",35
"to","talk",35
"we","will",35
"wish","i",35
"with","your",35
"and","get",34
"and","have",34
"because","the",34
"being","a",34
"day","to",34
"full","of",34
"gonna","be",34
"good","morning",34
"i","mean",34
"i","said",34
"if","we",34
"like","that",34
"me","in",34
"my","heart",34
"not","only",34
"off","to",34
"sort","of",34
"the","fact",34
"tried","to",34
"under","the",34
"where","i",34
"you","would",34
"a","bad",33
"a","way",33
"across","the",33
"are","in",33
"are","so",33
"as","you",33
"because","it",33
"but","this",33
"can","do",33
"can","i",33
"chance","to",33
"day","and",33
"day","i",33
"get","your",33
"interested","in",33
"it","doesnt",33
"may","have",33
"out","for",33
"out","there",33
"sounds","like",33
"the","city",33
"the","good",33
"the","middle",33
"the","state",33
"the","story",33
"the","two",33
"the","year",33
"them","in",33
"to","look",33
"we","do",33
"with","an",33
"working","on",33
"you","i",33
"your","own",33
"am","i",32
"and","this",32
"are","going",32
"as","they",32
"as","we",32
"at","work",32
"based","on",32
"but","you",32
"for","an",32
"i","found",32
"i","used",32
"i","wonder",32
"in","an",32
"is","still",32
"next","week",32
"or","not",32
"sure","to",32
"thats","a",32
"the","morning",32
"the","second",32
"the","show",32
"they","had",32
"to","his",32
"to","tell",32
"today","is",32
"was","just",32
"where","you",32
"which","was",32
"you","in",32
"your","life",32
"and","she",31
"and","what",31
"any","of",31
"be","at",31
"be","there",31
"c","c",31
"can","get",31
"do","the",31
"for","his",31
"got","the",31
"have","an",31
"i","went",31
"it","just",31
"its","been",31
"its","the",31
"me","the",31
"no","matter",31
"of","what",31
"on","their",31
"so","the",31
"to","meet",31
"to","share",31
"to","win",31
"wants","to",31
"what","do",31
"where","the",31
"will","have",31
"would","you",31
"you","too",31
"a","large",30
"a","real",30
"as","much",30
"but","if",30
"even","if",30
"excited","to",30
"find","a",30
"find","out",30
"has","to",30
"he","would",30
"here","in",30
"high","school",30
"i","always",30
"i","couldnt",30
"i","never",30
"im","in",30
"im","just",30
"im","sure",30
"in","one",30
"is","like",30
"is","your",30
"it","a",30
"it","but",30
"its","just",30
"many","of",30
"my","new",30
"of","god",30
"people","are",30
"see","what",30
"side","of",30
"the","great",30
"the","night",30
"things","that",30
"to","check",30
"to","that",30
"was","in",30
"what","are",30
"with","it",30
"with","us",30
"yes","i",30
"you","feel",30
"a","woman",29
"all","over",29
"and","for",29
"come","back",29
"could","have",29
"every","time",29
"happy","to",29
"i","knew",29
"if","he",29
"it","the",29
"just","got",29
"last","week",29
"listen","to",29
"make","me",29
"my","mind",29
"needs","to",29
"next","to",29
"of","me",29
"on","and",29
"on","her",29
"on","that",29
"one","day",29
"only","one",29
"out","a",29
"she","has",29
"talk","to",29
"that","has",29
"that","makes",29
"that","will",29
"the","big",29
"the","point",29
"then","the",29
"this","one",29
"to","us",29
"was","on",29
"welcome","to",29
"well","i",29
"what","he",29
"with","his",29
"with","some",29
"with","this",29
"would","love",29
"you","got",29
"you","may",29
"a","free",28
"a","time",28
"after","all",28
"become","a",28
"did","i",28
"for","us",28
"how","do",28
"i","actually",28
"i","decided",28
"i","wanna",28
"is","also",28
"is","on",28
"look","like",28
"me","up",28
"much","more",28
"my","first",28
"my","friends",28
"my","own",28
"needed","to",28
"out","on",28
"people","in",28
"so","you",28
"still","have",28
"tell","you",28
"that","a",28
"that","if",28
"the","entire",28
"the","kids",28
"think","its",28
"to","bring",28
"was","that",28
"we","got",28
"we","should",28
"which","i",28
"with","that",28
"you","all",28
"you","so",28
"and","on",27
"and","some",27
"and","well",27
"and","your",27
"anyone","else",27
"as","if",27
"at","home",27
"at","my",27
"but","he",27
"come","on",27
"for","that",27
"give","me",27
"i","say",27
"i","started",27
"i","took",27
"in","her",27
"life","and",27
"looking","at",27
"love","and",27
"make","the",27
"me","on",27
"mothers","day",27
"my","way",27
"not","even",27
"not","have",27
"on","to",27
"or","a",27
"pick","up",27
"so","im",27
"so","it",27
"than","a",27
"the","door",27
"the","moment",27
"the","power",27
"the","street",27
"these","are",27
"they","will",27
"time","and",27
"to","buy",27
"to","eat",27
"to","it",27
"to","leave",27
"told","me",27
"wait","for",27
"will","not",27
"you","go",27
"a","beautiful",26
"a","book",26
"a","whole",26
"a","wonderful",26
"and","an",26
"and","there",26
"and","when",26
"do","this",26
"do","with",26
"down","and",26
"even","though",26
"few","days",26
"him","to",26
"in","which",26
"is","now",26
"is","very",26
"it","for",26
"just","to",26
"long","as",26
"much","as",26
"much","of",26
"no","more",26
"of","time",26
"on","our",26
"see","it",26
"so","excited",26
"take","the",26
"that","there",26
"thats","what",26
"the","car",26
"the","country",26
"the","future",26
"the","season",26
"the","sun",26
"this","book",26
"though","i",26
"to","follow",26
"watching","the",26
"why","i",26
"would","not",26
"yeah","i",26
"about","you",25
"an","amazing",25
"and","be",25
"and","of",25
"and","see",25
"came","to",25
"can","we",25
"close","to",25
"day","in",25
"down","to",25
"front","of",25
"give","you",25
"here","is",25
"in","front",25
"in","order",25
"just","as",25
"just","like",25
"just","saw",25
"know","if",25
"know","the",25
"made","a",25
"nice","to",25
"not","just",25
"of","being",25
"out","with",25
"something","to",25
"the","public",25
"the","very",25
"to","school",25
"to","some",25
"to","stay",25
"to","their",25
"to","try",25
"we","all",25
"what","to",25
"who","has",25
"a","friend",24
"about","this",24
"against","the",24
"and","has",24
"and","no",24
"and","will",24
"as","long",24
"at","that",24
"be","sure",24
"create","a",24
"for","him",24
"for","more",24
"get","it",24
"here","i",24
"home","and",24
"how","can",24
"i","agree",24
"i","go",24
"i","heard",24
"i","might",24
"i","wouldnt",24
"if","u",24
"im","gonna",24
"in","all",24
"in","it",24
"in","new",24
"is","all",24
"is","always",24
"is","this",24
"it","seems",24
"its","all",24
"middle","of",24
"might","be",24
"no","idea",24
"of","life",24
"on","his",24
"on","top",24
"see","a",24
"she","said",24
"so","what",24
"some","people",24
"than","i",24
"that","have",24
"that","im",24
"that","its",24
"that","my",24
"that","she",24
"the","bottom",24
"the","church",24
"the","film",24
"the","national",24
"there","and",24
"they","do",24
"thought","i",24
"to","change",24
"to","her",24
"to","one",24
"was","at",24
"was","going",24
"was","to",24
"we","dont",24
"we","know",24
"well","be",24
"willing","to",24
"would","like",24
"amount","of",23
"and","even",23
"and","one",23
"and","was",23
"back","and",23
"because","they",23
"before","i",23
"believe","that",23
"can","see",23
"check","it",23
"do","something",23
"do","that",23
"dont","get",23
"dont","like",23
"every","day",23
"for","being",23
"for","example",23
"got","it",23
"have","some",23
"if","im",23
"it","can",23
"keep","it",23
"lets","go",23
"like","you",23
"miss","you",23
"my","husband",23
"on","saturday",23
"opportunity","to",23
"over","a",23
"read","the",23
"same","time",23
"shout","out",23
"since","the",23
"so","good",23
"state","of",23
"that","one",23
"thats","not",23
"the","beginning",23
"the","family",23
"the","road",23
"the","week",23
"the","worst",23
"they","dont",23
"to","become",23
"to","run",23
"use","the",23
"way","of",23
"we","could",23
"when","she",23
"work","for",23
"you","had",23
"you","just",23
"about","his",22
"about","what",22
"an","hour",22
"and","do",22
"and","just",22
"and","their",22
"been","in",22
"between","the",22
"but","for",22
"come","out",22
"continue","to",22
"follow","back",22
"for","her",22
"for","now",22
"for","them",22
"go","on",22
"have","any",22
"hit","the",22
"how","are",22
"how","the",22
"i","look",22
"im","trying",22
"in","love",22
"is","there",22
"it","when",22
"just","the",22
"love","your",22
"making","a",22
"more","and",22
"much","better",22
"must","have",22
"my","hair",22
"no","problem",22
"now","im",22
"only","a",22
"our","new",22
"please","follow",22
"rt","i",22
"saw","a",22
"say","i",22
"so","to",22
"something","that",22
"sometimes","i",22
"the","problem",22
"them","and",22
"to","and",22
"to","learn",22
"to","love",22
"to","pay",22
"to","spend",22
"two","years",22
"until","the",22
"us","a",22
"we","would",22
"what","happened",22
"when","people",22
"while","i",22
"why","the",22
"will","get",22
"you","ever",22
"a","better",21
"a","different",21
"a","single",21
"about","how",21
"about","that",21
"all","you",21
"along","the",21
"along","with",21
"and","make",21
"be","an",21
"but","as",21
"but","then",21
"but","what",21
"deal","with",21
"excited","about",21
"for","another",21
"for","their",21
"for","those",21
"from","our",21
"give","a",21
"he","says",21
"here","and",21
"him","and",21
"his","own",21
"i","must",21
"im","still",21
"in","fact",21
"in","other",21
"is","about",21
"is","more",21
"know","you",21
"known","as",21
"lack","of",21
"less","than",21
"long","time",21
"look","forward",21
"love","that",21
"my","phone",21
"night","i",21
"on","facebook",21
"one","thing",21
"place","in",21
"proud","of",21
"put","it",21
"put","on",21
"said","i",21
"see","my",21
"some","time",21
"that","can",21
"the","air",21
"the","boys",21
"the","final",21
"the","movie",21
"the","number",21
"the","old",21
"the","rt",21
"they","would",21
"to","him",21
"to","show",21
"up","at",21
"us","and",21
"we","love",21
"we","want",21
"what","did",21
"what","if",21
"what","was",21
"whats","up",21
"with","them",21
"work","on",21
"you","on",21
"your","favorite",21
"a","blast",20
"a","place",20
"ability","to",20
"all","this",20
"all","your",20
"am","not",20
"and","are",20
"and","had",20
"be","more",20
"but","a",20
"but","in",20
"but","when",20
"call","me",20
"comes","to",20
"do","a",20
"dont","be",20
"end","up",20
"felt","like",20
"get","in",20
"get","me",20
"glad","to",20
"glad","you",20
"go","back",20
"has","the",20
"have","never",20
"i","ever",20
"i","only",20
"i","read",20
"if","there",20
"in","its",20
"in","there",20
"it","looks",20
"it","so",20
"it","with",20
"ive","had",20
"join","us",20
"know","about",20
"let","us",20
"like","my",20
"los","angeles",20
"man","who",20
"many","people",20
"may","not",20
"me","know",20
"me","too",20
"my","friend",20
"no","longer",20
"not","going",20
"not","in",20
"now","that",20
"now","the",20
"people","to",20
"that","doesnt",20
"thats","the",20
"the","idea",20
"the","internet",20
"the","name",20
"the","perfect",20
"the","song",20
"the","st",20
"the","team",20
"there","will",20
"tired","of",20
"to","let",20
"to","them",20
"to","visit",20
"tonight","at",20
"up","my",20
"very","much",20
"watch","the",20
"when","a",20
"with","our",20
"within","the",20
"work","with",20
"you","at",20
"a","certain",19
"a","month",19
"after","that",19
"all","about",19
"all","but",19
"and","her",19
"and","thats",19
"any","other",19
"are","also",19
"around","and",19
"as","my",19
"attention","to",19
"back","on",19
"because","he",19
"before","we",19
"believe","in",19
"but","my",19
"but","still",19
"even","the",19
"figure","out",19
"focus","on",19
"for","following",19
"from","your",19
"gave","me",19
"happy","mothers",19
"hope","to",19
"i","believe",19
"i","find",19
"i","remember",19
"i","tried",19
"in","every",19
"in","nyc",19
"in","some",19
"in","to",19
"into","my",19
"is","for",19
"is","really",19
"it","as",19
"ive","never",19
"living","in",19
"made","me",19
"matter","what",19
"my","family",19
"not","that",19
"now","you",19
"of","new",19
"one","i",19
"or","two",19
"out","that",19
"over","and",19
"place","to",19
"see","how",19
"see","if",19
"sitting","in",19
"so","glad",19
"social","media",19
"someone","to",19
"starting","to",19
"the","greatest",19
"the","lord",19
"the","things",19
"then","you",19
"theres","no",19
"thing","i",19
"think","the",19
"this","summer",19
"through","a",19
"to","ask",19
"to","avoid",19
"to","believe",19
"to","pick",19
"too","bad",19
"wanting","to",19
"was","an",19
"were","a",19
"when","my",19
"where","they",19
"while","the",19
"with","and",19
"work","in",19
"you","might",19
"a","car",18
"a","fan",18
"a","fun",18
"a","quick",18
"a","second",18
"about","your",18
"are","now",18
"as","she",18
"at","night",18
"back","of",18
"be","my",18
"behind","the",18
"but","thats",18
"cant","believe",18
"come","from",18
"coming","to",18
"didnt","have",18
"do","so",18
"dont","forget",18
"dont","you",18
"enjoy","the",18
"even","more",18
"exactly","what",18
"find","the",18
"friends","and",18
"get","on",18
"get","out",18
"good","and",18
"great","day",18
"have","my",18
"here","at",18
"hope","that",18
"how","you",18
"i","live",18
"i","may",18
"i","told",18
"i","wont",18
"if","she",18
"is","being",18
"it","comes",18
"it","or",18
"it","that",18
"ive","got",18
"keep","up",18
"level","of",18
"life","in",18
"love","is",18
"love","this",18
"make","you",18
"me","back",18
"more","to",18
"my","best",18
"my","day",18
"my","house",18
"my","parents",18
"next","year",18
"none","of",18
"not","an",18
"on","how",18
"one","in",18
"one","that",18
"order","to",18
"out","i",18
"point","of",18
"said","he",18
"said","the",18
"sense","of",18
"set","up",18
"that","when",18
"the","floor",18
"the","front",18
"the","group",18
"the","line",18
"the","love",18
"the","man",18
"the","original",18
"the","question",18
"the","uk",18
"the","united",18
"the","water",18
"these","days",18
"thing","to",18
"things","to",18
"time","in",18
"time","is",18
"to","add",18
"to","bed",18
"to","deal",18
"to","just",18
"us","in",18
"was","great",18
"way","i",18
"we","cant",18
"were","in",18
"what","does",18
"when","im",18
"when","youre",18
"who","was",18
"will","always",18
"you","be",18
"a","bunch",17
"a","call",17
"a","girl",17
"a","more",17
"all","in",17
"also","a",17
"am","going",17
"an","awesome",17
"and","also",17
"and","go",17
"and","our",17
"and","with",17
"are","just",17
"at","his",17
"back","from",17
"bout","to",17
"bunch","of",17
"can","make",17
"coming","up",17
"congrats","on",17
"does","it",17
"dont","understand",17
"down","on",17
"everyone","is",17
"find","it",17
"for","minutes",17
"found","the",17
"get","my",17
"go","with",17
"good","thing",17
"great","weekend",17
"had","no",17
"half","of",17
"have","not",17
"have","one",17
"he","did",17
"here","are",17
"i","asked",17
"i","finally",17
"i","wasnt",17
"id","be",17
"im","on",17
"in","chicago",17
"in","life",17
"in","on",17
"is","awesome",17
"is","good",17
"is","pretty",17
"is","why",17
"it","be",17
"it","does",17
"just","had",17
"just","want",17
"last","day",17
"let","you",17
"me","at",17
"me","but",17
"me","if",17
"me","im",17
"me","it",17
"might","have",17
"moment","when",17
"more","of",17
"much","i",17
"much","to",17
"my","dad",17
"night","in",17
"not","know",17
"not","too",17
"now","and",17
"on","in",17
"on","its",17
"on","monday",17
"only","the",17
"or","so",17
"or","something",17
"piece","of",17
"so","happy",17
"someone","who",17
"take","it",17
"that","could",17
"the","beach",17
"the","case",17
"the","company",17
"the","girl",17
"the","government",17
"the","heart",17
"the","party",17
"the","place",17
"the","side",17
"them","the",17
"they","want",17
"things","i",17
"think","im",17
"this","blog",17
"this","point",17
"time","it",17
"time","of",17
"time","with",17
"to","an",17
"to","for",17
"to","support",17
"too","long",17
"two","days",17
"two","of",17
"up","i",17
"us","on",17
"use","it",17
"version","of",17
"want","a",17
"was","i",17
"was","there",17
"week","and",17
"well","and",17
"where","are",17
"who","have",17
"why","is",17
"will","never",17
"will","you",17
"with","one",17
"with","their",17
"work","and",17
"year","and",17
"a","moment",16
"a","special",16
"all","night",16
"all","these",16
"and","as",16
"and","take",16
"and","tell",16
"are","doing",16
"are","on",16
"are","we",16
"be","like",16
"be","so",16
"been","on",16
"been","to",16
"better","to",16
"both","of",16
"but","there",16
"but","to",16
"can","find",16
"can","only",16
"difficult","to",16
"do","to",16
"dont","even",16
"dont","see",16
"easy","to",16
"follow","the",16
"for","one",16
"for","what",16
"from","me",16
"get","back",16
"getting","ready",16
"give","up",16
"group","of",16
"haha","i",16
"hanging","out",16
"have","done",16
"have","fun",16
"have","it",16
"have","more",16
"he","didnt",16
"he","doesnt",16
"how","long",16
"i","hear",16
"i","liked",16
"i","swear",16
"id","like",16
"idea","of",16
"im","glad",16
"im","sorry",16
"in","time",16
"is","coming",16
"is","he",16
"is","only",16
"it","from",16
"it","im",16
"it","isnt",16
"it","took",16
"it","wasnt",16
"keep","the",16
"last","time",16
"list","of",16
"love","with",16
"me","of",16
"money","to",16
"more","about",16
"my","birthday",16
"my","son",16
"name","of",16
"new","year",16
"next","time",16
"nothing","to",16
"off","a",16
"on","me",16
"once","again",16
"or","in",16
"out","my",16
"plenty","of",16
"read","it",16
"rt","if",16
"same","thing",16
"saw","the",16
"should","not",16
"so","if",16
"stop","by",16
"the","answer",16
"the","ground",16
"the","kind",16
"the","office",16
"the","phone",16
"the","reason",16
"the","weekend",16
"the","wrong",16
"the","years",16
"thing","about",16
"things","are",16
"throughout","the",16
"to","feel",16
"to","figure",16
"to","happen",16
"to","provide",16
"to","speak",16
"to","those",16
"too","many",16
"very","good",16
"was","also",16
"was","like",16
"ways","to",16
"we","get",16
"well","see",16
"were","going",16
"whats","the",16
"whats","your",16
"who","wants",16
"with","him",16
"worry","about",16
"years","and",16
"you","as",16
"you","back",16
"you","the",16
"a","baby",15
"a","look",15
"a","pretty",15
"about","my",15
"above","the",15
"addition","to",15
"also","be",15
"and","keep",15
"are","more",15
"are","still",15
"at","it",15
"at","me",15
"been","the",15
"book","is",15
"but","no",15
"care","of",15
"do","is",15
"doesnt","have",15
"doing","a",15
"each","of",15
"ever","seen",15
"feel","the",15
"following","me",15
"for","years",15
"from","his",15
"goes","to",15
"good","night",15
"great","to",15
"had","an",15
"happened","to",15
"have","ever",15
"he","could",15
"he","will",15
"here","for",15
"him","a",15
"his","name",15
"i","already",15
"i","needed",15
"if","its",15
"if","my",15
"im","pretty",15
"in","america",15
"in","for",15
"is","at",15
"is","something",15
"it","back",15
"it","takes",15
"its","always",15
"its","like",15
"its","only",15
"its","time",15
"ive","ever",15
"jesus","christ",15
"just","in",15
"know","it",15
"like","im",15
"likely","to",15
"little","bit",15
"lost","my",15
"love","for",15
"made","the",15
"make","this",15
"maybe","i",15
"me","feel",15
"me","how",15
"me","with",15
"my","mother",15
"my","name",15
"my","wife",15
"new","years",15
"no","way",15
"not","my",15
"now","we",15
"of","each",15
"of","how",15
"on","one",15
"on","tv",15
"one","more",15
"or","even",15
"our","lives",15
"plan","to",15
"power","of",15
"pretty","much",15
"pretty","sure",15
"put","the",15
"quite","a",15
"say","the",15
"so","they",15
"sure","that",15
"terms","of",15
"thanks","so",15
"that","means",15
"that","to",15
"thats","why",15
"the","american",15
"the","girls",15
"the","land",15
"the","latest",15
"the","list",15
"the","news",15
"the","room",15
"the","situation",15
"the","summer",15
"the","truth",15
"the","words",15
"the","work",15
"them","a",15
"them","for",15
"thing","that",15
"thought","of",15
"to","enjoy",15
"to","hold",15
"to","not",15
"to","sit",15
"turns","out",15
"u","know",15
"united","states",15
"was","able",15
"was","about",15
"was","born",15
"was","it",15
"was","pretty",15
"we","go",15
"week","i",15
"were","the",15
"what","would",15
"why","not",15
"will","make",15
"without","a",15
"would","make",15
"wouldnt","be",15
"year","i",15
"years","old",15
"you","but",15
"you","must",15
"you","that",15
"you","there",15
"you","with",15
"a","job",14
"a","million",14
"a","number",14
"a","part",14
"a","person",14
"a","show",14
"a","young",14
"about","me",14
"always","be",14
"am","in",14
"an","old",14
"and","let",14
"and","most",14
"and","those",14
"and","went",14
"and","why",14
"are","looking",14
"are","very",14
"beginning","of",14
"best","friend",14
"by","his",14
"by","my",14
"can","take",14
"can","tell",14
"cant","do",14
"case","of",14
"cause","i",14
"congrats","to",14
"could","go",14
"could","not",14
"didnt","know",14
"do","what",14
"dont","need",14
"everyone","who",14
"fan","of",14
"first","i",14
