"unigram","BigramTM","TrigramTM","QuadgramTM","freq"
"thanks","for","the","follow",35
"the","end","of","the",35
"at","the","end","of",28
"c","c","c","c",28
"for","the","first","time",26
"i","dont","want","to",21
"at","the","same","time",19
"the","rest","of","the",19
"if","you","want","to",16
"is","going","to","be",16
"thank","you","for","the",16
"thanks","for","the","rt",16
"cant","wait","to","see",15
"i","am","going","to",15
"in","the","middle","of",14
"as","well","as","the",13
"one","of","the","best",13
"going","to","be","a",12
"have","a","great","weekend",12
"thank","you","so","much",12
"i","feel","like","i",11
"i","would","love","to",11
"one","of","the","most",11
"when","it","comes","to",11
"a","bit","of","a",10
"going","to","have","to",10
"i","wish","i","could",10
"is","one","of","the",10
"on","my","way","to",10
"one","of","my","favorite",10
"to","be","able","to",10
"what","do","you","think",10
"for","a","long","time",9
"have","a","lot","of",9
"i","dont","have","to",9
"i","had","no","idea",9
"i","have","no","idea",9
"in","the","first","place",9
"its","going","to","be",9
"the","back","of","the",9
"by","the","end","of",8
"happy","mothers","day","to",8
"i","cant","wait","to",8
"i","think","i","have",8
"in","front","of","the",8
"on","the","other","hand",8
"thanks","for","the","mention",8
"the","fact","that","i",8
"the","middle","of","the",8
"to","one","of","the",8
"turned","out","to","be",8
"i","dont","know","if",7
"i","have","a","lot",7
"i","would","like","to",7
"looking","forward","to","the",7
"on","top","of","the",7
"the","beginning","of","the",7
"the","bottom","of","the",7
"the","top","of","the",7
"was","going","to","be",7
"what","are","you","doing",7
"would","be","able","to",7
"you","are","going","to",7
"a","little","bit","of",6
"as","much","as","i",6
"at","the","beginning","of",6
"end","of","the","day",6
"for","a","couple","of",6
"have","to","worry","about",6
"hope","to","see","you",6
"i","can","tell","you",6
"i","dont","know","how",6
"i","dont","know","what",6
"i","dont","think","i",6
"i","look","forward","to",6
"i","thought","i","was",6
"i","thought","it","was",6
"i","want","to","be",6
"i","was","able","to",6
"im","looking","forward","to",6
"is","one","of","my",6
"let","me","know","if",6
"mothers","day","to","all",6
"nothing","to","do","with",6
"on","the","back","of",6
"on","the","other","side",6
"over","and","over","again",6
"that","awkward","moment","when",6
"that","would","have","been",6
"the","end","of","this",6
"the","only","thing","that",6
"the","rest","of","my",6
"to","go","back","to",6
"you","dont","have","to",6
"you","have","to","do",6
"a","chance","to","win",5
"a","couple","of","days",5
"a","lot","of","people",5
"a","lot","of","the",5
"a","member","of","the",5
"all","the","way","to",5
"and","i","dont","have",5
"are","you","going","to",5
"as","long","as","i",5
"as","one","of","the",5
"as","you","can","see",5
"baby","baby","baby","baby",5
"be","one","of","the",5
"be","part","of","the",5
"but","i","think","i",5
"but","it","was","a",5
"cant","wait","for","the",5
"did","you","know","that",5
"do","the","same","thing",5
"find","a","way","to",5
"for","a","chance","to",5
"for","as","long","as",5
"for","the","next","few",5
"for","the","rest","of",5
"from","all","of","us",5
"give","us","a","call",5
"going","to","see","the",5
"good","to","see","you",5
"had","a","great","day",5
"had","the","opportunity","to",5
"have","to","go","to",5
"hope","all","is","well",5
"hope","you","had","a",5
"i","cant","help","but",5
"i","feel","like","im",5
"i","have","a","feeling",5
"i","have","to","say",5
"i","need","someone","to",5
"i","need","to","be",5
"i","need","to","do",5
"i","need","to","go",5
"i","really","need","to",5
"i","the","only","one",5
"i","was","going","to",5
"i","would","have","to",5
"im","going","to","be",5
"im","going","to","go",5
"in","the","case","of",5
"in","the","world","i",5
"is","supposed","to","be",5
"is","what","it","is",5
"it","is","going","to",5
"it","was","a","good",5
"know","who","i","am",5
"love","and","kindness","we",5
"makes","me","want","to",5
"of","the","world","and",5
"so","be","sure","to",5
"take","a","look","at",5
"thank","you","for","being",5
"thanks","so","much","for",5
"that","i","have","a",5
"that","i","needed","to",5
"the","first","time","i",5
"the","first","time","in",5
"the","last","day","of",5
"the","other","side","of",5
"the","power","of","the",5
"there","is","so","much",5
"this","is","why","i",5
"this","time","of","year",5
"those","of","you","who",5
"to","be","part","of",5
"to","get","out","of",5
"to","look","forward","to",5
"to","see","in","the",5
"to","share","with","you",5
"trying","to","figure","out",5
"when","i","was","a",5
"when","it","came","to",5
"you","had","a","great",5
"you","want","to","be",5
"you","would","like","to",5
"a","couple","of","times",4
"a","few","weeks","ago",4
"a","great","deal","of",4
"a","lot","of","time",4
"a","lot","of","work",4
"a","whole","lot","of",4
"all","have","a","great",4
"all","i","can","say",4
"all","the","way","in",4
"all","the","way","up",4
"all","you","have","to",4
"am","i","the","only",4
"and","i","think","i",4
"and","so","on","and",4
"are","supposed","to","be",4
"as","a","result","of",4
"as","part","of","the",4
"at","the","bottom","of",4
"at","the","top","of",4
"awkward","moment","when","you",4
"be","the","first","to",4
"been","one","of","my",4
"by","the","name","of",4
"cant","wait","to","have",4
"cant","wait","to","hear",4
"come","up","with","a",4
"do","you","go","to",4
"do","you","have","any",4
"do","you","want","to",4
"dont","be","afraid","to",4
"dont","get","me","wrong",4
"end","of","the","month",4
"excited","about","the","new",4
"follow","me","on","twitter",4
"for","a","few","hours",4
"for","the","kind","words",4
"for","the","shout","out",4
"from","time","to","time",4
"going","to","be","there",4
"had","a","great","time",4
"happy","birthday","to","my",4
"happy","birthday","to","you",4
"have","a","bit","of",4
"have","a","great","time",4
"have","a","lot","to",4
"have","no","idea","what",4
"have","nothing","to","do",4
"have","to","do","is",4
"hope","everyone","had","a",4
"hope","you","have","a",4
"i","can","do","this",4
"i","dont","even","know",4
"i","dont","have","a",4
"i","dont","like","this",4
"i","have","to","admit",4
"i","have","to","go",4
"i","hope","you","have",4
"i","just","had","to",4
"i","know","what","you",4
"i","think","i","need",4
"i","think","i","was",4
"i","thought","i","would",4
"i","told","you","to",4
"i","want","to","do",4
"i","was","a","little",4
"i","was","at","the",4
"i","was","looking","for",4
"i","wasnt","going","to",4
"i","wish","i","was",4
"if","you","dont","have",4
"ill","let","you","know",4
"im","a","big","fan",4
"im","not","going","to",4
"in","a","way","that",4
"in","addition","to","the",4
"in","my","head","i",4
"in","the","face","of",4
"in","the","last","years",4
"in","the","name","of",4
"in","the","near","future",4
"in","the","united","states",4
"is","it","just","me",4
"is","one","of","those",4
"is","the","last","day",4
"it","has","to","be",4
"it","was","time","to",4
"its","been","a","long",4
"keep","up","the","good",4
"keep","up","with","the",4
"let","us","know","if",4
"like","us","on","facebook",4
"look","forward","to","seeing",4
"looking","forward","to","being",4
"looking","forward","to","seeing",4
"looking","forward","to","your",4
"love","to","have","you",4
"nice","to","meet","you",4
"not","being","able","to",4
"on","a","friday","night",4
"on","the","way","to",4
"one","of","the","few",4
"one","of","the","greatest",4
"one","of","the","many",4
"one","of","those","days",4
"other","side","of","the",4
"sc","in","sc","dec",4
"see","you","at","the",4
"so","im","going","to",4
"so","much","better","than",4
"so","that","i","could",4
"take","the","time","to",4
"tell","me","what","you",4
"thanks","for","following","me",4
"thanks","for","the","ff",4
"thanks","for","the","kind",4
"that","i","want","to",4
"the","benefit","of","the",4
"the","best","way","to",4
"the","first","day","of",4
"the","majority","of","the",4
"the","name","of","the",4
"the","next","few","months",4
"the","side","of","the",4
"the","two","of","us",4
"the","way","back","to",4
"the","way","to","the",4
"there","are","a","few",4
"there","are","those","who",4
"this","is","going","to",4
"this","is","one","of",4
"this","was","going","to",4
"to","be","a","good",4
"to","be","in","a",4
"to","figure","out","what",4
"to","get","caught","up",4
"to","go","to","school",4
"to","learn","more","about",4
"to","let","you","know",4
"to","pay","attention","to",4
"to","say","that","i",4
"to","say","the","least",4
"to","some","of","the",4
"to","the","next","level",4
"to","the","rest","of",4
"to","the","top","of",4
"told","you","to","be",4
"up","the","good","work",4
"want","to","be","a",4
"wants","to","be","a",4
"was","one","of","the",4
"we","are","going","to",4
"we","are","invited","to",4
"we","were","going","to",4
"were","going","to","have",4
"what","did","you","think",4
"when","i","first","saw",4
"when","i","get","home",4
"when","i","look","at",4
"will","be","able","to",4
"with","a","bunch","of",4
"would","love","to","see",4
"would","you","like","to",4
"you","dont","have","a",4
"you","for","the","follow",4
"you","have","a","great",4
"you","may","have","read",4
"you","need","to","go",4
"you","please","follow","me",4
"you","when","you","are",4
"a","couple","of","months",3
"a","couple","of","weeks",3
"a","cup","of","coffee",3
"a","fan","of","the",3
"a","few","people","in",3
"a","gift","from","god",3
"a","good","time","to",3
"a","large","number","of",3
"a","long","time","ago",3
"a","look","at","the",3
"a","lot","has","changed",3
"a","picture","of","us",3
