"unigram","BigramTM","TrigramTM","freq"
"thanks","for","the",118
"one","of","the",113
"a","lot","of",89
"i","have","a",70
"to","be","a",70
"the","end","of",57
"i","want","to",55
"it","was","a",55
"looking","forward","to",54
"going","to","be",53
"some","of","the",48
"i","dont","know",46
"thank","you","for",46
"im","going","to",45
"i","think","i",43
"it","is","a",43
"out","of","the",43
"be","able","to",42
"end","of","the",42
"i","have","to",42
"i","need","to",42
"part","of","the",42
"as","well","as",41
"for","the","follow",41
"i","love","you",41
"in","the","world",41
"one","of","my",41
"cant","wait","to",39
"a","couple","of",38
"is","going","to",36
"for","the","first",35
"you","want","to",35
"the","rest","of",34
"dont","want","to",33
"i","had","a",33
"i","have","been",33
"the","fact","that",33
"at","the","end",32
"one","of","those",31
"the","first","time",31
"there","is","no",31
"you","have","to",31
"you","need","to",31
"i","dont","want",30
"i","feel","like",30
"i","wanted","to",30
"if","you","dont",30
"of","the","world",30
"you","have","a",30
"c","c","c",29
"i","dont","have",29
"i","had","to",29
"this","is","the",29
"to","go","to",29
"to","make","a",29
"have","a","great",28
"i","dont","think",28
"i","will","be",28
"it","would","be",28
"a","bit","of",27
"if","you","are",27
"of","the","day",27
"to","see","you",27
"when","i","was",26
"all","of","the",25
"have","to","be",25
"i","got","a",25
"this","is","a",25
"to","have","a",25
"all","the","way",24
"are","going","to",24
"if","you","want",24
"in","the","morning",24
"is","one","of",24
"would","love","to",24
"back","to","the",23
"do","you","think",23
"if","you","have",23
"what","do","you",23
"as","long","as",22
"check","it","out",22
"in","front","of",22
"in","the","past",22
"to","get","a",22
"would","like","to",22
"a","chance","to",21
"and","i","have",21
"and","it","is",21
"at","the","same",21
"for","a","while",21
"had","a","great",21
"i","love","the",21
"i","need","a",21
"i","would","have",21
"in","the","s",21
"it","will","be",21
"look","forward","to",21
"rest","of","the",21
"the","middle","of",21
"the","same","time",21
"there","is","a",21
"to","be","the",21
"was","going","to",21
"we","need","to",21
"and","it","was",20
"check","out","the",20
"for","the","rt",20
"go","to","the",20
"i","decided","to",20
"i","have","no",20
"in","my","life",20
"so","i","can",20
"to","do","with",20
"to","make","it",20
"as","much","as",19
"at","the","time",19
"happy","mothers","day",19
"i","think","its",19
"i","was","a",19
"in","the","middle",19
"it","is","the",19
"its","been","a",19
"on","the","other",19
"that","i","am",19
"that","i","was",19
"we","have","a",19
"a","long","time",18
"according","to","the",18
"and","i","dont",18
"because","of","the",18
"but","i","dont",18
"dont","have","to",18
"how","do","you",18
"i","hope","you",18
"i","thought","i",18
"i","wish","i",18
"it","has","been",18
"know","how","to",18
"let","me","know",18
"more","and","more",18
"need","to","be",18
"on","the","way",18
"supposed","to","be",18
"that","i","have",18
"to","be","in",18
"trying","to","get",18
"up","in","the",18
"wish","i","could",18
"you","so","much",18
"all","the","time",17
"and","in","the",17
"at","a","time",17
"but","i","have",17
"but","it","is",17
"but","it","was",17
"cant","wait","for",17
"i","am","not",17
"i","cant","wait",17
"i","know","i",17
"in","order","to",17
"it","is","not",17
"it","was","the",17
"on","top","of",17
"thanks","for","following",17
"that","they","are",17
"to","talk","to",17
"top","of","the",17
"up","to","the",17
"am","going","to",16
"have","a","good",16
"i","am","going",16
"i","have","the",16
"i","was","just",16
"in","the","first",16
"is","the","best",16
"look","at","the",16
"most","of","the",16
"no","matter","what",16
"of","the","most",16
"of","the","year",16
"the","back","of",16
"the","same","thing",16
"to","all","the",16
"to","get","the",16
"to","think","about",16
"wait","to","see",16
"want","to","be",16
"you","for","the",16
"a","bunch","of",15
"a","great","day",15
"a","great","weekend",15
"a","way","to",15
"at","the","moment",15
"be","sure","to",15
"do","you","know",15
"feel","like","i",15
"for","a","few",15
"for","me","to",15
"i","had","the",15
"i","love","it",15
"i","went","to",15
"id","like","to",15
"in","my","head",15
"in","the","last",15
"need","to","go",15
"one","of","our",15
"please","follow","me",15
"seems","to","be",15
"side","of","the",15
"some","of","my",15
"that","it","was",15
"there","will","be",15
