"unigram","bigram","freq"
"of","the",2577
"in","the",2439
"for","the",1372
"to","the",1348
"on","the",1325
"to","be",1155
"at","the",880
"i","have",795
"is","a",793
"i","was",752
"in","a",749
"and","the",739
"i","am",718
"it","is",708
"and","i",707
"it","was",689
"with","the",648
"if","you",629
"for","a",628
"have","a",616
"is","the",589
"going","to",587
"i","dont",547
"will","be",533
"from","the",519
"i","think",517
"want","to",515
"to","get",505
"with","a",492
"of","a",488
"this","is",486
"i","love",478
"thanks","for",477
"but","i",474
"that","i",468
"to","see",451
"one","of",450
"you","are",447
"all","the",446
"to","do",431
"you","can",425
"have","to",423
"in","my",421
"of","my",407
"as","a",404
"i","can",391
"need","to",387
"on","a",385
"when","i",382
"by","the",377
"out","of",377
"thank","you",377
"was","a",372
"be","a",370
"i","know",370
"i","had",362
"a","great",359
"a","few",358
"and","a",346
"the","same",346
"a","lot",341
"i","just",332
"that","the",332
"have","been",327
"the","first",324
"you","have",323
"a","good",322
"a","little",317
"to","make",315
"so","i",311
"there","is",310
"i","will",306
"to","have",305
"they","are",304
"do","you",302
"to","go",301
"the","best",299
"would","be",298
"we","are",292
"that","is",291
"had","a",287
"to","a",286
"on","my",282
"so","much",277
"is","not",275
"are","you",271
"the","world",270
"like","a",262
"we","have",260
"about","the",259
"i","would",258
"if","i",258
"has","been",253
"there","are",249
"you","know",246
"for","me",243
"to","my",243
"i","want",241
"time","to",239
"when","you",237
"i","cant",235
"into","the",234
"all","of",232
"back","to",228
"the","day",227
"to","me",227
"trying","to",224
"a","new",221
"he","was",221
"and","it",220
"its","a",219
"me","to",216
"right","now",216
"able","to",215
"and","then",213
"lot","of",211
"is","that",210
"part","of",210
"as","the",209
"way","to",209
"the","most",208
"as","well",206
"i","need",206
"go","to",205
"the","way",204
"the","other",203
"what","i",201
"im","not",199
"in","this",198
"i","could",197
"some","of",197
"can","be",196
"cant","wait",196
"a","bit",195
"of","this",195
"as","i",194
"i","do",194
"i","got",194
"over","the",194
"the","last",194
"the","new",190
"for","my",189
"had","to",188
"the","time",188
"kind","of",187
"to","take",187
"he","is",186
"more","than",184
"that","you",184
"forward","to",183
"are","the",181
"at","least",180
"but","the",180
"up","to",179
"with","my",179
"how","to",176
"to","say",175
"for","you",174
"get","a",174
"i","feel",174
"the","next",170
"the","only",170
"be","the",169
"but","it",168
"of","course",168
"did","you",167
"should","be",167
"was","the",166
"you","to",166
"of","his",165
"to","you",163
"i","hope",162
"like","to",162
"me","and",162
"of","our",161
