"unigram","bigram","trigram","freq"
"thanks","for","the",249
"a","lot","of",204
"one","of","the",196
"to","be","a",149
"i","have","a",138
"i","want","to",138
"looking","forward","to",122
"it","was","a",106
"going","to","be",105
"cant","wait","to",103
"i","have","to",101
"the","end","of",99
"some","of","the",98
"thank","you","for",96
"be","able","to",95
"for","the","follow",94
"im","going","to",94
"i","need","to",93
"out","of","the",92
"i","dont","know",90
"i","love","you",86
"as","well","as",85
"there","is","a",82
"it","is","a",80
"i","think","i",79
"part","of","the",79
"in","the","world",75
"if","you","are",74
"is","going","to",74
"this","is","a",74
"a","couple","of",73
"i","dont","think",73
"dont","want","to",68
"the","first","time",68
"i","had","to",67
"i","feel","like",66
"the","rest","of",66
"of","the","day",65
"this","is","the",65
"end","of","the",63
"have","a","great",63
"you","want","to",63
"to","go","to",62
"you","have","a",62
"i","have","been",61
"the","fact","that",61
"you","need","to",61
"one","of","my",60
"there","is","no",60
"when","i","was",60
"you","have","to",60
"at","the","end",59
"i","dont","want",59
"it","would","be",59
"to","see","you",59
"i","had","a",58
"all","of","the",57
"i","wanted","to",57
"a","bit","of",55
"do","you","think",54
"for","the","first",53
"it","will","be",53
"one","of","those",53
"to","have","a",53
"in","order","to",52
"back","to","the",51
"i","am","not",51
"if","you","want",51
"was","going","to",51
"look","forward","to",50
"as","long","as",49
"what","do","you",49
"check","it","out",48
"if","you","dont",48
"want","to","be",48
"a","little","bit",47
"to","see","the",47
"if","you","have",46
"to","be","the",46
"to","do","with",46
"i","will","be",45
"in","the","morning",45
"most","of","the",45
"at","the","same",44
"for","the","rt",44
"i","cant","wait",44
"would","love","to",44
"and","it","was",43
"happy","mothers","day",43
"have","to","be",43
"i","dont","have",43
"of","the","world",43
"the","same","time",43
"we","need","to",43
"at","the","time",42
"had","a","great",42
"i","do","not",42
"in","my","life",42
"are","going","to",41
"i","am","a",41
"i","think","the",41
"is","not","a",41
"rest","of","the",41
"i","wish","i",40
"let","me","know",40
"thanks","for","following",40
"to","get","a",40
"to","make","a",40
"and","i","am",39
"in","the","middle",39
"on","the","other",39
"side","of","the",39
"you","for","the",39
"but","i","think",38
"but","it","is",38
"how","do","you",38
"in","front","of",38
"so","i","can",38
"the","united","states",38
"would","like","to",38
"a","chance","to",37
"check","out","the",37
"i","am","so",37
"i","decided","to",37
"i","know","i",37
"is","one","of",37
"of","the","year",37
"would","be","a",37
"you","so","much",37
"all","the","time",36
"at","a","time",36
"back","in","the",36
"but","i","dont",36
"cant","wait","for",36
"go","to","the",36
"it","comes","to",36
"to","take","a",36
"when","it","comes",36
"a","great","day",35
"a","number","of",35
"i","am","going",35
"i","need","a",35
"i","think","it",35
"i","was","a",35
"i","would","have",35
"in","love","with",35
"in","the","s",35
"it","is","not",35
"it","was","the",35
"need","to","be",35
"that","i","have",35
"there","was","a",35
"to","make","it",35
"we","have","a",35
"all","the","way",34
"and","i","have",34
"because","of","the",34
"i","have","no",34
"i","think","its",34
"it","is","the",34
"up","in","the",34
"wait","to","see",34
"am","going","to",33
"do","you","have",33
"the","number","of",33
"to","be","in",33
"and","i","will",32
"as","much","as",32
"be","sure","to",32
"have","a","good",32
"i","hope","you",32
"i","love","the",32
"i","was","just",32
"in","the","same",32
"look","at","the",32
"needs","to","be",32
"of","the","most",32
"on","top","of",32
"to","get","the",32
"what","are","you",32
"for","the","next",31
"i","know","that",31
"is","the","best",31
"it","to","the",31
"looking","for","a",31
"not","going","to",31
"of","my","life",31
"the","only","one",31
"will","be","a",31
"you","dont","have",31
"you","know","what",31
"at","this","point",30
"for","a","few",30
"know","how","to",30
"thanks","so","much",30
"that","it","is",30
"the","middle","of",30
"to","say","that",30
"by","the","way",29
"dont","have","to",29
"for","a","while",29
"for","me","to",29
"how","are","you",29
"i","dont","like",29
"i","got","a",29
"i","still","have",29
"is","a","good",29
"out","of","my",29
"so","much","for",29
"to","be","able",29
"we","had","a",29
"and","i","think",28
"but","it","was",28
"by","the","time",28
"for","the","day",28
"for","you","to",28
"have","a","lot",28
"have","to","do",28
"have","you","ever",28
"i","went","to",28
